USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        1147  0.0  0.0 422300 10328 ?        Ssl   2025   0:36 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1152  0.0  0.0 470460 11692 ?        Ssl   2025   0:15 /usr/libexec/udisks2/udisksd
root        1157  0.7  2.7 4403744 667144 ?      Ssl   2025 277:22 /bin/warp-svc
avahi       1223  0.0  0.0   8480  1280 ?        S     2025   0:00 avahi-daemon: chroot helper
root        1233  0.0  0.0 820964 21368 ?        Ssl   2025   3:25 /usr/sbin/NetworkManager --no-daemon
root        1237  0.0  0.0  18340 10168 ?        Ss    2025   0:22 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1301  0.0  0.0 222588  6784 ?        Ssl   2025   1:16 /usr/sbin/rsyslogd -n -iNONE
root        1383  0.0  0.0 392296  8432 ?        Ssl   2025   0:07 /usr/sbin/ModemManager
root        1506  0.0  0.0 322076 15884 ?        Ssl   2025  13:07 /usr/libexec/upowerd
root        1603  0.0  0.0 1235948 5932 ?        Ssl   2025   0:10 /snap/canonical-livepatch/372/canonical-livepatchd
root        1608  0.0  0.0 109664 12772 ?        Ssl   2025   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
colord      1626  0.0  0.0 317472 11252 ?        Ssl   2025   0:00 /usr/libexec/colord
root        1634  0.0  0.0  82836 16980 ?        Ss    2025   0:11 /usr/sbin/winbindd --foreground --no-process-group
root        1643  0.0  0.0 312212  8632 ?        Ssl   2025   0:01 /usr/sbin/gdm3
postgres    1665  0.0  0.1 222840 24412 ?        Ss    2025   0:11 /usr/lib/postgresql/16/bin/postgres -D /var/lib/postgresql/16/main -c config_file=/etc/postgresql/16/main/postgresql.conf
root        1673  0.0  0.0  83504 10808 ?        S     2025   0:01 winbindd: domain child [HYPI5]
postgres    1675  0.0  0.0 222972  6172 ?        Ss    2025   0:00 postgres: 16/main: checkpointer 
postgres    1676  0.0  0.0 222996  5020 ?        Ss    2025   0:05 postgres: 16/main: background writer 
postgres    1678  0.0  0.0 222840  7936 ?        Ss    2025   0:05 postgres: 16/main: walwriter 
postgres    1679  0.0  0.0 224448  6404 ?        Ss    2025   0:02 postgres: 16/main: autovacuum launcher 
postgres    1680  0.0  0.0 224424  5684 ?        Ss    2025   0:00 postgres: 16/main: logical replication launcher 
root        1843  0.0  0.0      0     0 ?        S<    2025   0:00 [krfcommd]
kernoops    2289  0.0  0.0  12744  1976 ?        Ss    2025   0:00 /usr/sbin/kerneloops --test
kernoops    2300  0.0  0.0  12744  1948 ?        Ss    2025   0:00 /usr/sbin/kerneloops
dictd       2304  0.0  0.0   4468  1488 ?        Ss    2025   0:00 dictd 1.13.1: 0/0
root        2512  0.0  0.0 466540 16508 ?        Sl    2025   0:03 gdm-session-worker [pam/gdm-password]
nfnaa       2525  0.0  0.0  21912 12628 ?        Ss    2025   2:23 /usr/lib/systemd/systemd --user
nfnaa       2530  0.0  0.0  21464  2328 ?        S     2025   0:00 (sd-pam)
nfnaa       2542  0.0  0.0 117148 13356 ?        Ssl   2025  30:37 /usr/bin/pipewire
nfnaa       2543  0.0  0.0  95132  5044 ?        Ssl   2025   0:00 /usr/bin/pipewire -c filter-chain.conf
nfnaa       2548  0.0  0.0 564464 21980 ?        Ssl   2025   0:42 /usr/bin/wireplumber
nfnaa       2549  0.0  0.1 167224 41260 ?        SLsl  2025  33:59 /usr/bin/pipewire-pulse
nfnaa       2552  0.0  0.0 314764 10240 ?        SLsl  2025   0:04 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
nfnaa       2564  0.0  0.0  12624  8064 ?        Ss    2025   2:34 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
nfnaa       2601  0.0  0.0 1204772 7888 ?        Ssl   2025   0:03 /usr/libexec/xdg-document-portal
nfnaa       2605  0.0  0.0 306836  5992 ?        Ssl   2025   0:00 /usr/libexec/xdg-permission-store
root        2612  0.0  0.0   2704  1908 ?        Ss    2025   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
nfnaa       2633  0.0  0.0 233064  5824 tty2     Ssl+  2025   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
nfnaa       2643  0.0  0.0 295632 14560 tty2     Sl+   2025   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
nfnaa       2738  0.0  0.0 162652  6032 ?        Ssl   2025   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
nfnaa       2740  0.0  0.0  88944  5428 ?        Ssl   2025   0:00 /usr/libexec/gnome-session-ctl --monitor
nfnaa       2757  0.0  0.0 311780  7700 ?        Ssl   2025   0:01 /usr/libexec/gvfsd
nfnaa       2765  0.0  0.0 531868  6952 ?        Sl    2025   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
nfnaa       2768  0.0  0.0 518056 17212 ?        Ssl   2025   0:11 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
nfnaa       2800  0.0  0.0 382976  7776 ?        Sl    2025   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
nfnaa       2811  0.0  0.0   9744  5136 ?        S     2025   0:14 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
nfnaa       2813  2.3  2.7 5689588 660072 ?      Ssl   2025 833:43 /usr/bin/gnome-shell
nfnaa       2889  0.0  0.0 236068  7200 ?        Sl    2025   0:02 /usr/libexec/at-spi2-registryd --use-gnome-session
nfnaa       2908  0.0  0.0 654932 14908 ?        Sl    2025   0:02 /usr/libexec/gnome-shell-calendar-server
nfnaa       2916  0.0  0.1 1272472 33652 ?       Ssl   2025   0:01 /usr/libexec/evolution-source-registry
nfnaa       2926  0.0  0.1 2924156 39368 ?       Sl    2025   0:04 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
nfnaa       2942  0.0  0.0 380952  6452 ?        Ssl   2025   0:01 /usr/libexec/gsd-a11y-settings
nfnaa       2943  0.0  0.0 413764 21880 ?        Ssl   2025   0:05 /usr/libexec/gsd-color
nfnaa       2945  0.0  0.0 429100 10928 ?        Ssl   2025   0:01 /usr/libexec/gsd-datetime
nfnaa       2948  0.0  0.0 383568 10896 ?        Ssl   2025   0:49 /usr/libexec/gsd-housekeeping
nfnaa       2954  0.0  0.0 412684 21232 ?        Ssl   2025   0:02 /usr/libexec/gsd-keyboard
nfnaa       2957  0.0  0.1 734400 27228 ?        Ssl   2025   0:23 /usr/libexec/gsd-media-keys
nfnaa       2967  0.0  0.1 593952 27740 ?        Ssl   2025   0:17 /usr/libexec/gsd-power
nfnaa       2969  0.0  0.0 321172 10420 ?        Ssl   2025   0:01 /usr/libexec/gsd-print-notifications
nfnaa       2971  0.0  0.0 454748  6512 ?        Ssl   2025   0:05 /usr/libexec/gsd-rfkill
